date,precipitation_mm,temp_max,temp_min,temp_mean,humidity_mean,is_rainy
2016-01-01,0.0,36.1,24.8,29.03333333333333,65.33333333333333,0
2016-01-02,1.2000000000000002,33.0,24.3,28.054166666666664,68.91666666666667,1
2016-01-03,29.8,28.8,23.9,25.304166666666664,86.95833333333333,1
2016-01-04,8.6,29.0,23.6,25.6375,75.54166666666667,1
2016-01-05,4.6000000000000005,30.2,22.4,25.420833333333334,72.66666666666667,1
2016-01-06,0.4,30.0,21.6,25.445833333333336,71.45833333333333,1
2016-01-07,0.2,32.8,22.8,26.979166666666668,72.54166666666667,1
2016-01-08,0.0,34.7,24.3,28.52916666666667,64.91666666666667,0
2016-01-09,0.0,33.4,25.8,28.575,67.20833333333333,0
2016-01-10,0.0,34.5,25.0,28.333333333333332,65.75,0
2016-01-11,0.0,34.4,24.8,28.641666666666666,68.95833333333333,0
2016-01-12,1.4000000000000001,30.5,26.4,27.77916666666667,74.08333333333333,1
2016-01-13,0.0,35.6,24.4,28.875,65.25,0
2016-01-14,0.0,35.8,25.1,29.445833333333336,63.083333333333336,0
2016-01-15,1.4,35.3,26.8,29.758333333333336,65.33333333333333,1
2016-01-16,3.8,32.2,25.2,28.0,75.20833333333333,1
2016-01-17,7.800000000000001,28.1,22.9,24.570833333333336,85.375,1
2016-01-18,40.4,25.3,22.2,23.224999999999998,90.79166666666667,1
2016-01-19,1.6,27.8,23.2,25.05,85.54166666666667,1
2016-01-20,47.8,26.9,22.3,24.420833333333334,89.79166666666667,1
2016-01-21,5.4,24.7,22.5,23.420833333333334,88.08333333333333,1
2016-01-22,11.799999999999999,25.8,21.9,23.445833333333336,86.0,1
2016-01-23,12.4,28.5,22.8,24.40833333333333,88.0,1
2016-01-24,0.2,29.9,22.7,25.633333333333336,79.75,1
2016-01-25,42.4,30.2,24.3,26.03333333333333,89.625,1
2016-01-26,0.0,32.7,24.9,27.604166666666668,79.58333333333333,0
2016-01-27,0.0,32.5,25.6,27.875,73.33333333333333,0
2016-01-28,0.0,30.7,25.6,27.454166666666666,74.20833333333333,0
2016-01-29,0.0,31.1,25.2,27.525000000000002,74.45833333333333,0
2016-01-30,0.0,32.4,22.5,27.075,74.45833333333333,0
2016-01-31,0.0,31.9,22.2,27.141666666666666,73.91666666666667,0
2016-02-01,0.0,33.3,22.9,27.787499999999998,73.29166666666667,0
2016-02-02,0.0,33.8,24.0,28.3125,70.91666666666667,0
2016-02-03,0.0,33.5,23.6,28.129166666666666,72.04166666666667,0
2016-02-04,0.0,33.3,23.4,28.120833333333334,72.0,0
2016-02-05,0.0,32.9,22.3,27.47083333333333,72.95833333333333,0
2016-02-06,0.0,34.6,23.3,28.2,70.20833333333333,0
2016-02-07,0.0,34.6,24.0,28.34166666666667,66.5,0
2016-02-08,0.0,33.4,22.5,27.729166666666668,66.91666666666667,0
2016-02-09,0.0,33.8,23.3,28.2375,68.20833333333333,0
2016-02-10,0.0,35.5,22.0,28.358333333333334,59.458333333333336,0
2016-02-11,0.0,32.6,22.1,27.320833333333336,73.375,0
2016-02-12,9.8,29.9,24.2,26.433333333333334,80.83333333333333,1
2016-02-13,0.2,29.5,21.8,25.4375,82.29166666666667,1
2016-02-14,0.0,33.7,23.3,27.895833333333332,70.08333333333333,0
2016-02-15,0.0,35.8,24.9,29.104166666666668,63.666666666666664,0
2016-02-16,0.0,35.2,24.8,28.995833333333334,66.04166666666667,0
2016-02-17,0.0,34.9,25.0,28.891666666666666,63.25,0
2016-02-18,0.0,34.0,24.7,28.21666666666667,62.833333333333336,0
2016-02-19,0.0,33.6,24.0,28.266666666666666,68.41666666666667,0
